"runtime","fps","found","explored","disk_usage","fixed_hash_load_factor","hash_load_factor","cache_load_factor","collisions"
22495,30014,23192456,1158354899,10.31,9.5785,9.5785,51.9859,1129423143
22555,22899,23215110,1160010688,10.31,9.5881,9.5881,52.5033,1131126564
22615,22055,23232912,1161303983,10.31,9.5954,9.5954,52.9075,1132430205
22675,22827,23262866,1163499388,10.31,9.6064,9.6064,53.5936,1134669803
22735,11341,23278182,1164584823,10.31,9.6134,9.6134,53.9328,1135783687
22795,21068,23297109,1166159704,10.31,9.6217,9.6217,54.4249,1137440082
22855,15896,23321771,1168010891,10.31,9.6321,9.6321,55.0034,1139360649
22915,23661,23345250,1169256569,10.31,9.6419,9.6419,55.3927,1140619797
22975,49318,23369553,1170607522,10.31,9.6524,9.6524,55.8148,1142029881
23035,11978,23394036,1172164794,10.31,9.6625,9.6625,56.3015,1143652896
23095,68482,23408273,1173167423,10.31,9.6675,9.6675,56.6148,1144683433
23155,11037,23426720,1174712710,10.31,9.6743,9.6743,57.0977,1146300960
23215,15757,23443214,1175722994,10.31,9.6794,9.6794,57.4134,1147355924
23275,4929,23465804,1177110944,10.31,9.6872,9.6872,57.8472,1148777911
23335,0,23479014,1178000010,10.31,9.6916,9.6916,58.1250,1149691723
23395,0,23479014,1178000010,10.31,9.6916,9.6916,58.1250,1149691723
23455,0,23479014,1178000010,10.31,9.6916,9.6916,58.1250,1149691723
23515,0,23479014,1178000010,10.31,9.6916,9.6916,58.1250,1149691723
23575,0,23479014,1178000010,10.31,9.6916,9.6916,58.1250,1149691723
23635,0,23479014,1178000010,10.31,9.6916,9.6916,58.1250,1149691723
23695,0,23479014,1178000010,10.31,9.6916,9.6916,58.1250,1149691723
23755,0,23479014,1178000010,10.31,9.6916,9.6916,58.1250,1149691723
23815,0,23479014,1178000010,10.31,9.6916,9.6916,58.1250,1149691723
23875,0,23479014,1178000010,10.31,9.6916,9.6916,58.1250,1149691723
23935,0,23479014,1178000010,10.31,9.6916,9.6916,58.1250,1149691723
23995,0,23479014,1178000010,10.31,9.6916,9.6916,58.1250,1149691723
24055,0,23479014,1178000010,10.31,9.6916,9.6916,58.1250,1149691723
24115,0,23479014,1178000010,10.31,9.6916,9.6916,58.1250,1149691723
